Batch,fase,orden_escalon_fase,estado_recomendacion,m6_avance_prev,ley_sn_escoria_pct_prev,real_sn_dep,real_feo_ret,temperatura_real,pred_T_historico,pred_T_recomendado,support_historico,support_recomendado,J_historico,J_recomendado,uplift_J_kgSn,pred_dT_hist,pred_dT_rec,dT_sd_rep_hist,dT_sd_rep_rec,J_sn_hist,J_sn_rec,J_feo_hist,J_feo_rec,J_costo_hist,J_costo_rec,J_incertidumbre_hist,J_incertidumbre_rec,J_soporte_hist,J_soporte_rec,hist__duracion_plan_min,rec__duracion_plan_min,hist__tasa_feed_conc_kg_min,rec__tasa_feed_conc_kg_min,hist__tasa_feed_reciclo_kg_min,rec__tasa_feed_reciclo_kg_min,hist__tasa_feed_Fe_kg_min,rec__tasa_feed_Fe_kg_min,hist__tasa_feed_dross_Fe_kg_min,rec__tasa_feed_dross_Fe_kg_min,hist__tasa_feed_pellets_kg_min,rec__tasa_feed_pellets_kg_min,hist__tasa_feed_CaO_kg_min,rec__tasa_feed_CaO_kg_min,hist__tasa_feed_Carbon_kg_min,rec__tasa_feed_Carbon_kg_min,hist__tasa_gn_nm3_min,rec__tasa_gn_nm3_min,hist__tasa_o2_nm3_min,rec__tasa_o2_nm3_min,hist__tasa_aire_nm3_min,rec__tasa_aire_nm3_min,hist_derivada__exceso_o2_combustion_pct,rec_derivada__exceso_o2_combustion_pct,hist_derivada__m8_dosis,rec_derivada__m8_dosis,hist_derivada__m8_exceso_C_pos,rec_derivada__m8_exceso_C_pos,hist_derivada__Cx_sn_v6,rec_derivada__Cx_sn_v6,hist_derivada__Cx_sn_F6,rec_derivada__Cx_sn_F6,sd_orden__tasa_feed_Carbon_kg_min,pred_sn_dep_hist,pred_sn_dep_rec,pred_feo_ret_hist,pred_feo_ret_rec,sn_dep_sd_rep_hist,sn_dep_sd_rep_rec,feo_ret_sd_rep_hist,feo_ret_sd_rep_rec,sd_orden__tasa_gn_nm3_min,variante
AP0001,Fusión,1,sin_recomendacion:orden,0.5339211861740609,27.9049,0.6038518510789966,,1180.1166727325062,1146.8491860265547,1146.8491860265547,0.10499517399770748,0.10499517399770748,-87.34767071544829,-87.34767071544829,0.0,9.071021296481732,9.071021296481732,2.0791498171442364,2.0791498171442364,0.0,0.0,-0.0,-0.0,-87.34767071544829,-87.34767071544829,0.0,0.0,-0.0,-0.0,35.0,35.0,281.39556974951455,281.39556974951455,1.4398610499979895e-18,1.4398610499979895e-18,52.79106810893172,52.79106810893172,3.8229928387160846e-26,3.8229928387160846e-26,0.004945094463029684,0.004945094463029684,42.152676250144005,42.152676250144005,28.051410117638472,28.051410117638472,25.184834439716642,25.184834439716642,33.75321956536709,33.75321956536709,122.91431625124008,122.91431625124008,18.256139663544435,18.256139663544435,0.1495880710085004,0.1495880710085004,0.0,0.0,39.07308975863943,39.07308975863943,,,5.527485696217566,,,,,,,,,,base
AP0001,Fusión,2,sin_recomendacion:soporte,0.5602169182918788,26.4467,0.48840180957301005,,1228.9785056080693,1195.7720262302796,1195.7720262302796,0.19108167971838894,0.19108167971838894,-109.88765632248924,-109.88765632248924,0.0,15.655353497773444,15.655353497773444,1.2537711162944898,1.2537711162944898,0.0,0.0,-0.0,-0.0,-109.88765632248924,-109.88765632248924,0.0,0.0,-0.0,-0.0,40.0,40.0,280.1401912702671,280.1401912702671,1.4398610499979895e-18,1.4398610499979895e-18,52.62579798170225,52.62579798170225,5.619336425831323e-25,5.619336425831323e-25,0.004260957723021035,0.004260957723021035,42.10558144158913,42.10558144158913,32.7754950873107,32.7754950873107,25.4588714006212,25.4588714006212,34.46505116780598,34.46505116780598,122.89922441270615,122.89922441270615,18.37502013738831,18.37502013738831,0.1384016995566123,0.1384016995566123,0.0,0.0,117.60492628321083,117.60492628321083,,,6.837605300872508,,,,,,,,,,base
AP0001,Fusión,3,sin_recomendacion:soporte,0.5861092594302175,25.1503,0.38503030798206805,,1220.8329049313163,1237.5328416066077,1237.5328416066077,0.2813871857665203,0.2813871857665203,-150.74087878108372,-150.74087878108372,0.0,8.554335998538338,8.554335998538338,1.293808002947923,1.293808002947923,0.0,0.0,-0.0,-0.0,-150.74087878108372,-150.74087878108372,0.0,0.0,-0.0,-0.0,45.0,45.0,296.02618815104165,296.02618815104165,1.4398610499979895e-18,1.4398610499979895e-18,55.564620573624225,55.564620573624225,1.2413309048907944e-24,1.2413309048907944e-24,0.003374278039226065,0.003374278039226065,44.495595384680705,44.495595384680705,44.652730571359825,44.652730571359825,25.593401655032313,25.593401655032313,34.93587280273437,34.93587280273437,122.74050350236304,122.74050350236304,18.607482031004682,18.607482031004682,0.15690208753365112,0.15690208753365112,0.0,0.0,259.54080035279463,259.54080035279463,,,7.110813934067624,,,,,,,,,,base
AP0001,Fusión,4,sin_recomendacion:soporte,0.5857894606279517,24.8466,0.5893529268995313,,1208.1428044582235,1211.0128499104833,1211.0128499104833,0.10935415446529867,0.10935415446529867,-147.45114712127562,-147.45114712127562,0.0,-9.820055020832932,-9.820055020832932,1.1882464348022304,1.1882464348022304,0.0,0.0,-0.0,-0.0,-147.45114712127562,-147.45114712127562,0.0,0.0,-0.0,-0.0,50.0,50.0,250.5160085981025,250.5160085981025,1.4398610499979895e-18,1.4398610499979895e-18,42.6254441446392,42.6254441446392,0.07871619739132721,0.07871619739132721,0.00017597585661335223,0.00017597585661335223,37.42071487081683,37.42071487081683,38.876226895927786,38.876226895927786,23.490653489854605,23.490653489854605,30.04919929334853,30.04919929334853,123.16724500868057,123.16724500868057,19.013974577847158,19.013974577847158,0.12821299977388004,0.12821299977388004,0.0,0.0,338.76566266083637,338.76566266083637,,,6.825393947747257,,,,,,,,,,base
AP0001,Fusión,5,sin_recomendacion:soporte,0.694026397480507,20.0003,0.3635024856514464,,1204.8229530896529,1199.139144838937,1199.139144838937,0.23534120837323202,0.23534120837323202,-199.9179603368366,-199.9179603368366,0.0,-9.003659619286568,-9.003659619286568,1.592253022574858,1.592253022574858,0.0,0.0,-0.0,-0.0,-199.9179603368366,-199.9179603368366,0.0,0.0,-0.0,-0.0,55.0,55.0,296.2493361700149,296.2493361700149,1.4398610499979896e-18,1.4398610499979896e-18,55.58101726713636,55.58101726713636,2.1696437961071375e-27,2.1696437961071375e-27,0.002378694815810637,0.002378694815810637,44.48128683907646,44.48128683907646,49.54491083054316,49.54491083054316,26.34371137522688,26.34371137522688,36.731512334033695,36.731512334033695,123.13378639914774,123.13378639914774,18.79420971927437,18.79420971927437,0.1606376415202568,0.1606376415202568,0.0,0.0,416.6471142211888,416.6471142211888,,,5.259101439265731,,,,,,,,,,base
AP0001,Fusión,6,sin_recomendacion:soporte,0.6727476527781017,20.9911,0.6838486633684844,,1218.2317549476704,1189.9850433269285,1189.9850433269285,0.1921901094367247,0.1921901094367247,-221.20785298172385,-221.20785298172385,0.0,-14.837909762724449,-14.837909762724449,0.4890473650236923,0.4890473650236923,0.0,0.0,-0.0,-0.0,-221.20785298172385,-221.20785298172385,0.0,0.0,-0.0,-0.0,59.0,59.0,293.9505168090373,293.9505168090373,1.4398610499979895e-18,1.4398610499979895e-18,53.89619707938956,53.89619707938956,0.04992457584348092,0.04992457584348092,0.008400020552821493,0.008400020552821493,42.45147891875101,42.45147891875101,51.86790663890349,51.86790663890349,26.31291045765818,26.31291045765818,36.65029980831111,36.65029980831111,122.91776210455248,122.91776210455248,18.69274201115165,18.69274201115165,0.1467381335664237,0.1467381335664237,0.0,0.0,611.7106168555753,611.7106168555753,,,6.143573050561811,,,,,,,,,,base
AP0001,Reducción,0,sin_recomendacion:soporte,0.7407251950692002,17.9512,1.6976485621949498,-0.1756055047955765,1228.5968346129157,1223.248510020828,1223.248510020828,0.26078717366151016,0.26078717366151016,940.3962455557589,940.3962455557589,0.0,5.0167550731576895,5.0167550731576895,0.523380226046076,0.523380226046076,2944.9865382974153,2944.9865382974153,-1865.1339961694694,-1865.1339961694694,-124.9709119919817,-124.9709119919817,-14.485384580205436,-14.485384580205436,-0.0,-0.0,30.0,30.0,,,,,,,7.712614798515001e-21,7.712614798515001e-21,2.845300332410261e-06,2.845300332410261e-06,,,63.27719600282865,63.27719600282865,25.67613748055917,25.67613748055917,23.1553141841182,23.1553141841182,118.90712917751736,118.90712917751736,-6.283000416562713,-6.283000416562713,0.14684219498062817,0.14684219498062817,0.0,0.0,818.0217275780876,818.0217275780876,818.0217275780876,818.0217275780876,7.401391886547319,2.066276589959685,2.066276589959685,-0.2206787352011227,-0.2206787352011227,0.013053074133876762,0.013053074133876762,0.002627601928648954,0.002627601928648954,2.629537410892832,base
AP0001,Reducción,1,recomendar,0.9523968418102317,4.2169,1.0382604275382346,-0.0404210819970943,1229.411981736617,1226.2133479794925,1225.5485214346734,0.31878270325484215,0.3184954455354571,7.810659288266894,12.448985491736611,4.638326203469717,-2.3834866334233293,-3.048313178242396,0.27196076860295265,0.2922349941943624,965.9274451767754,947.0924359992046,-859.5140448640308,-842.4694734125671,-70.5020548531296,-68.39542731115874,-28.100686171348183,-23.204034344971987,-0.0,-0.5745154387700735,25.0,25.0,,,,,,,1.236805608128956e-08,1.236805608128956e-08,3.246143692322738e-23,3.246143692322738e-23,,,37.86293647961739,36.763631255309726,24.165946777343752,23.189285428562066,20.195696682400175,20.195696682400175,119.80885416666668,119.80885416666668,-6.158123090955667,-2.205791987156088,0.3984338977957385,0.3868658445459884,465.8227630570296,438.340132449338,89.95230870105917,87.34065065000328,489.4765676540321,475.2651990168446,6.843260350266032,0.6777189782070148,0.664503862270427,-0.10169589568242528,-0.09967921780422505,0.025322098821501333,0.020909626446773053,0.005097373616237551,0.004209136806806148,2.9299840463450626,base
AP0001,Reducción,2,recomendar,0.9831435191008217,1.5704,0.2044844413764346,-0.055025757729241516,1230.795367123941,1229.3894948181921,1227.999143559556,0.3112541019045946,0.31522982900068375,68.89039095087792,82.33388347800545,13.443492527127532,-0.02248691842487993,-1.412838177061082,0.16925533731524556,0.4292033840995698,911.2406863719262,871.8510456896532,-794.3281556812576,-758.6828560837414,-33.18866247425382,-26.241193184402125,-14.833477265536896,-4.593112943504265,-0.0,-0.0,20.0,20.0,,,,,,,8.080525657587182e-24,8.080525657587182e-24,3.246143692322738e-23,3.246143692322738e-23,,,18.906451900421626,13.184477301889308,19.694319746229382,17.651828594030423,12.328093630472818,12.328093630472818,116.94646470811631,116.94646470811631,-6.3515478206869895,4.484504318299949,0.4494783383785207,0.313445218661592,207.89236593203879,93.45287396139241,15.905279206667027,11.091599512430827,244.4148828159761,170.44353386365998,5.721974598532318,0.639349373446594,0.6117126113187242,-0.09398323825011291,-0.0897657613035771,0.01336674751975986,0.004138947324792382,0.0026907448163134904,0.0008331758374815003,3.0637367282984362,base
AP0001,Reducción,3,mantener,0.9862602058170735,1.3076,,,1235.7334422125455,1233.8264171424128,1233.8264171424128,0.3539168011576538,0.3539168011576538,47.04170984856502,47.04170984856502,0.0,3.0310500184715736,3.0310500184715736,0.07437561588963044,0.07437561588963043,873.0561238808508,873.0561238808508,-812.6566452972531,-812.6566452972531,-11.946437567167811,-11.946437567167811,-1.411331167864836,-1.411331167864836,-0.0,-0.0,15.0,15.0,,,,,,,8.080525657587182e-24,8.080525657587182e-24,3.246143692322738e-23,3.246143692322738e-23,,,4.354313337802887,4.354313337802887,17.021396597403065,17.021396597403065,6.807160633228444,6.807160633228444,118.99402542679398,118.99402542679398,-6.600184682535845,-6.600184682535845,0.09525022718438647,0.09525022718438647,0.0,0.0,2.985826680559782,2.985826680559782,56.290783157436366,56.290783157436366,3.630318451107379,0.6125581244724048,0.6125581244724048,-0.09615182662762983,-0.09615182662762983,0.0012717791688295855,0.0012717791688295855,0.00025601091072940165,0.00025601091072940165,2.3891304986414017,base
